,appliance_id_1,appliance_id_2,appliance_id_3,appliance_id_4,appliance_id_5,appliance_id_6,appliance_id_7,appliance_id_8,appliance_id_9
0,0,0,0,1,0,1,0,1,0
1,0,1,1,0,0,0,0,1,0
2,0,0,0,0,0,0,1,1,0
3,0,0,0,1,1,0,0,0,1
4,1,0,0,0,0,0,1,0,0
5,1,0,0,1,0,1,0,1,0
6,1,1,1,0,0,0,0,1,0
7,1,0,0,0,0,1,0,1,0
8,1,0,0,0,0,0,1,0,1
9,1,0,0,0,0,0,1,1,0
10,1,1,0,0,0,0,1,1,0
11,1,0,1,0,0,0,1,1,0
12,1,0,0,1,0,1,0,0,0
13,0,0,1,0,0,0,0,1,0
14,0,0,1,0,0,0,0,1,0
15,0,0,0,1,1,0,0,0,1
16,0,0,0,1,1,0,0,0,1
17,0,0,0,1,1,0,0,0,0
18,0,0,0,0,0,1,0,1,0
19,0,0,0,0,0,1,0,1,0
20,0,0,0,1,0,1,0,0,1
21,0,0,0,1,0,1,0,0,1
22,0,0,0,1,1,0,0,0,0
23,0,1,1,0,0,0,0,1,0
24,0,1,1,0,0,0,0,1,0
25,0,1,1,0,0,0,0,1,0
26,0,0,0,0,0,1,0,1,0
27,0,0,0,0,0,0,1,1,0
28,1,0,0,0,0,0,0,0,0
29,0,1,0,0,0,0,0,0,0
30,0,0,1,0,0,0,0,0,0
31,0,0,0,1,0,0,0,0,0
32,0,0,0,0,1,0,0,0,0
33,0,0,0,0,0,1,0,0,0
34,0,0,0,0,0,0,1,0,0
35,0,0,0,0,0,0,0,1,0
36,0,0,0,0,0,0,0,0,1
37,1,1,0,0,0,0,0,0,0
38,1,0,1,0,0,0,0,0,0
39,1,0,0,1,0,0,0,0,0
40,1,0,0,0,1,0,0,0,0
41,1,0,0,0,0,1,0,0,0
42,1,0,0,0,0,0,1,0,0
43,1,0,0,0,0,0,0,1,0
44,1,0,0,0,0,0,0,0,1
45,0,1,1,0,0,0,0,0,0
46,0,1,0,1,0,0,0,0,0
47,0,1,0,0,1,0,0,0,0
48,0,1,0,0,0,1,0,0,0
49,0,1,0,0,0,0,1,0,0
50,0,1,0,0,0,0,0,1,0
51,0,1,0,0,0,0,0,0,1
52,0,0,1,1,0,0,0,0,0
53,0,0,1,0,1,0,0,0,0
54,0,0,1,0,0,1,0,0,0
55,0,0,1,0,0,0,1,0,0
56,0,0,1,0,0,0,0,1,0
57,0,0,1,0,0,0,0,0,1
58,0,0,0,1,1,0,0,0,0
59,0,0,0,1,0,1,0,0,0
60,0,0,0,1,0,0,1,0,0
61,0,0,0,1,0,0,0,1,0
62,0,0,0,1,0,0,0,0,1
63,0,0,0,0,1,1,0,0,0
64,0,0,0,0,1,0,1,0,0
65,0,0,0,0,1,0,0,1,0
66,0,0,0,0,1,0,0,0,1
67,0,0,0,0,0,1,1,0,0
68,0,0,0,0,0,1,0,1,0
69,0,0,0,0,0,1,0,0,1
70,0,0,0,0,0,0,1,1,0
71,0,0,0,0,0,0,1,0,1
72,0,0,0,0,0,0,0,1,1
73,0,1,1,0,0,0,0,1,0
74,0,0,0,0,0,0,1,1,0
75,0,0,0,0,0,0,1,1,0
76,0,0,0,1,1,0,0,0,1
77,1,0,0,0,0,0,1,0,0
78,1,0,0,0,0,0,1,0,0
79,1,0,0,1,0,1,0,1,0
80,1,1,1,0,0,0,0,1,0
81,1,0,0,0,0,1,0,1,0
82,1,0,0,0,0,1,0,1,0
83,1,0,0,0,0,1,1,1,0
84,1,0,0,0,0,0,1,0,1
85,1,0,0,0,0,0,1,0,1
86,0,0,1,0,0,0,0,1,0
87,1,0,0,0,0,0,1,0,0
88,1,0,0,1,0,0,0,0,0
89,1,0,0,0,1,0,0,0,0
90,1,1,0,0,0,0,0,0,0
91,1,0,0,0,0,0,1,0,0
92,1,0,0,0,0,0,0,1,0
93,0,1,1,0,0,0,0,0,0
94,0,1,0,0,0,0,1,0,0
95,0,0,1,0,0,0,0,1,0
96,0,0,0,1,0,1,0,0,0
97,0,0,0,1,0,0,1,0,0
98,0,0,0,0,1,1,0,0,0
99,0,0,0,0,1,0,0,0,1
100,0,0,0,0,0,1,1,0,0
101,0,0,0,0,0,1,0,1,0
102,0,0,0,0,0,1,0,0,1
103,0,0,0,0,0,0,1,1,0
104,0,0,0,0,0,0,1,0,1
105,0,0,0,0,0,0,0,1,1
