,Unnamed: 0,id,birth,household,age,routine_id,sex_F,sex_M,appliance_id_1,appliance_id_2,appliance_id_3,appliance_id_4,appliance_id_5,appliance_id_6,appliance_id_7,appliance_id_8,appliance_id_9
0,0,1,19990606,1,23.0,0,0,1,0,0,0,0,1,1,0,0,0
1,0,1,19990606,1,23.0,21,0,1,1,0,0,1,1,0,0,0,0
2,0,1,19990606,1,23.0,22,0,1,1,1,0,0,0,0,0,1,0
3,0,1,19990606,1,23.0,12,0,1,1,0,0,0,0,1,0,1,0
4,0,1,19990606,1,23.0,20,0,1,1,0,0,1,0,1,0,1,0
5,1,2,19790623,2,43.0,15,0,1,1,1,1,0,0,0,0,1,0
6,1,2,19790623,2,43.0,11,0,1,1,0,0,0,0,0,1,1,0
7,1,2,19790623,2,43.0,9,0,1,0,1,1,0,0,0,0,1,0
8,1,2,19790623,2,43.0,10,0,1,0,0,0,0,0,0,1,1,1
9,1,2,19790623,2,43.0,13,0,1,0,0,0,1,0,1,0,1,0
10,2,3,19870623,2,35.0,8,0,1,1,0,0,0,0,0,1,0,0
11,2,3,19870623,2,35.0,15,0,1,1,1,1,0,0,0,0,1,0
12,2,3,19870623,2,35.0,20,0,1,1,0,0,1,0,1,0,1,0
13,2,3,19870623,2,35.0,23,0,1,0,0,0,0,0,1,0,1,0
14,2,3,19870623,2,35.0,9,0,1,0,1,1,0,0,0,0,1,0
15,3,4,19790308,3,43.0,4,0,1,0,0,0,0,0,0,1,1,0
16,3,4,19790308,3,43.0,3,0,1,0,0,0,1,0,1,0,0,0
17,3,4,19790308,3,43.0,11,0,1,1,0,0,0,0,0,1,1,0
18,3,4,19790308,3,43.0,19,0,1,1,0,0,0,0,1,1,1,0
19,3,4,19790308,3,43.0,20,0,1,1,0,0,1,0,1,0,1,0
20,4,5,19690222,2,53.0,21,0,1,1,0,0,1,1,0,0,0,0
21,4,5,19690222,2,53.0,19,0,1,1,0,0,0,0,1,1,1,0
22,4,5,19690222,2,53.0,13,0,1,0,0,0,1,0,1,0,1,0
23,4,5,19690222,2,53.0,12,0,1,1,0,0,0,0,1,0,1,0
24,4,5,19690222,2,53.0,9,0,1,0,1,1,0,0,0,0,1,0
25,5,6,19940916,4,28.0,14,0,1,0,0,0,0,0,1,1,1,0
26,5,6,19940916,4,28.0,19,0,1,1,0,0,0,0,1,1,1,0
27,5,6,19940916,4,28.0,13,0,1,0,0,0,1,0,1,0,1,0
28,5,6,19940916,4,28.0,18,0,1,1,0,0,0,0,1,1,0,0
29,5,6,19940916,4,28.0,8,0,1,1,0,0,0,0,0,1,0,0
30,6,7,19700909,3,52.0,21,0,1,1,0,0,1,1,0,0,0,0
31,6,7,19700909,3,52.0,13,0,1,0,0,0,1,0,1,0,1,0
32,6,7,19700909,3,52.0,2,0,1,0,0,0,0,0,0,0,1,1
33,6,7,19700909,3,52.0,4,0,1,0,0,0,0,0,0,1,1,0
34,6,7,19700909,3,52.0,17,0,1,1,0,0,1,0,1,0,0,0
35,7,8,20010326,1,21.0,10,0,1,0,0,0,0,0,0,1,1,1
36,7,8,20010326,1,21.0,21,0,1,1,0,0,1,1,0,0,0,0
37,7,8,20010326,1,21.0,3,0,1,0,0,0,1,0,1,0,0,0
38,7,8,20010326,1,21.0,5,0,1,0,1,1,0,0,0,1,0,0
39,7,8,20010326,1,21.0,7,0,1,0,1,1,0,0,0,0,0,0
40,8,9,20001203,1,22.0,11,0,1,1,0,0,0,0,0,1,1,0
41,8,9,20001203,1,22.0,12,0,1,1,0,0,0,0,1,0,1,0
42,8,9,20001203,1,22.0,19,0,1,1,0,0,0,0,1,1,1,0
43,8,9,20001203,1,22.0,9,0,1,0,1,1,0,0,0,0,1,0
44,8,9,20001203,1,22.0,23,0,1,0,0,0,0,0,1,0,1,0
45,9,10,19870426,1,35.0,20,0,1,1,0,0,1,0,1,0,1,0
46,9,10,19870426,1,35.0,17,0,1,1,0,0,1,0,1,0,0,0
47,9,10,19870426,1,35.0,22,0,1,1,1,0,0,0,0,0,1,0
48,9,10,19870426,1,35.0,19,0,1,1,0,0,0,0,1,1,1,0
49,9,10,19870426,1,35.0,9,0,1,0,1,1,0,0,0,0,1,0
50,10,11,19761222,4,46.0,10,0,1,0,0,0,0,0,0,1,1,1
51,10,11,19761222,4,46.0,18,0,1,1,0,0,0,0,1,1,0,0
52,10,11,19761222,4,46.0,22,0,1,1,1,0,0,0,0,0,1,0
53,10,11,19761222,4,46.0,11,0,1,1,0,0,0,0,0,1,1,0
54,10,11,19761222,4,46.0,8,0,1,1,0,0,0,0,0,1,0,0
55,11,12,19900830,4,32.0,15,0,1,1,1,1,0,0,0,0,1,0
56,11,12,19900830,4,32.0,12,0,1,1,0,0,0,0,1,0,1,0
57,11,12,19900830,4,32.0,11,0,1,1,0,0,0,0,0,1,1,0
58,11,12,19900830,4,32.0,21,0,1,1,0,0,1,1,0,0,0,0
59,11,12,19900830,4,32.0,18,0,1,1,0,0,0,0,1,1,0,0
60,12,13,19741124,4,48.0,18,0,1,1,0,0,0,0,1,1,0,0
61,12,13,19741124,4,48.0,2,0,1,0,0,0,0,0,0,0,1,1
62,12,13,19741124,4,48.0,3,0,1,0,0,0,1,0,1,0,0,0
63,12,13,19741124,4,48.0,16,0,1,0,0,0,0,0,1,1,1,1
64,12,13,19741124,4,48.0,20,0,1,1,0,0,1,0,1,0,1,0
65,13,14,19730824,2,49.0,10,0,1,0,0,0,0,0,0,1,1,1
66,13,14,19730824,2,49.0,21,0,1,1,0,0,1,1,0,0,0,0
67,13,14,19730824,2,49.0,18,0,1,1,0,0,0,0,1,1,0,0
68,13,14,19730824,2,49.0,5,0,1,0,1,1,0,0,0,1,0,0
69,13,14,19730824,2,49.0,8,0,1,1,0,0,0,0,0,1,0,0
70,14,15,19730228,2,49.0,15,0,1,1,1,1,0,0,0,0,1,0
71,14,15,19730228,2,49.0,21,0,1,1,0,0,1,1,0,0,0,0
72,14,15,19730228,2,49.0,16,0,1,0,0,0,0,0,1,1,1,1
73,14,15,19730228,2,49.0,13,0,1,0,0,0,1,0,1,0,1,0
74,14,15,19730228,2,49.0,11,0,1,1,0,0,0,0,0,1,1,0
75,15,16,19740425,1,48.0,10,0,1,0,0,0,0,0,0,1,1,1
76,15,16,19740425,1,48.0,12,0,1,1,0,0,0,0,1,0,1,0
77,15,16,19740425,1,48.0,14,0,1,0,0,0,0,0,1,1,1,0
78,15,16,19740425,1,48.0,13,0,1,0,0,0,1,0,1,0,1,0
79,15,16,19740425,1,48.0,16,0,1,0,0,0,0,0,1,1,1,1
80,16,17,19720302,1,50.0,22,0,1,1,1,0,0,0,0,0,1,0
81,16,17,19720302,1,50.0,11,0,1,1,0,0,0,0,0,1,1,0
82,16,17,19720302,1,50.0,12,0,1,1,0,0,0,0,1,0,1,0
83,16,17,19720302,1,50.0,14,0,1,0,0,0,0,0,1,1,1,0
84,16,17,19720302,1,50.0,21,0,1,1,0,0,1,1,0,0,0,0
85,17,18,19810525,1,41.0,13,0,1,0,0,0,1,0,1,0,1,0
86,17,18,19810525,1,41.0,14,0,1,0,0,0,0,0,1,1,1,0
87,17,18,19810525,1,41.0,11,0,1,1,0,0,0,0,0,1,1,0
88,17,18,19810525,1,41.0,20,0,1,1,0,0,1,0,1,0,1,0
89,17,18,19810525,1,41.0,9,0,1,0,1,1,0,0,0,0,1,0
90,18,19,20010729,2,21.0,11,0,1,1,0,0,0,0,0,1,1,0
91,18,19,20010729,2,21.0,5,0,1,0,1,1,0,0,0,1,0,0
92,18,19,20010729,2,21.0,15,0,1,1,1,1,0,0,0,0,1,0
93,18,19,20010729,2,21.0,3,0,1,0,0,0,1,0,1,0,0,0
94,18,19,20010729,2,21.0,18,0,1,1,0,0,0,0,1,1,0,0
95,19,20,19800716,3,42.0,15,0,1,1,1,1,0,0,0,0,1,0
96,19,20,19800716,3,42.0,0,0,1,0,0,0,0,1,1,0,0,0
97,19,20,19800716,3,42.0,14,0,1,0,0,0,0,0,1,1,1,0
