,appliance_id_1,appliance_id_2,appliance_id_3,appliance_id_4,appliance_id_5,appliance_id_6,appliance_id_7,appliance_id_8,appliance_id_9
0,0,0,0,1,0,1,0,1,0
1,0,1,1,0,0,0,0,1,0
2,0,0,0,0,0,0,1,1,0
3,0,0,0,1,1,0,0,0,1
4,1,0,0,0,0,0,1,0,0
5,1,0,0,1,0,1,0,1,0
6,1,1,1,0,0,0,0,1,0
7,1,0,0,0,0,1,0,1,0
8,1,0,0,0,0,0,1,0,1
9,1,0,0,0,0,0,1,1,0
10,1,1,0,0,0,0,1,1,0
11,1,0,1,0,0,0,1,1,0
12,1,0,0,1,0,1,0,0,0
13,0,0,1,0,0,0,0,1,0
14,0,0,0,1,1,0,0,0,0
15,0,0,0,0,0,1,0,1,0
16,0,0,0,1,0,1,0,0,1
26,1,1,0,0,0,0,0,0,0
27,1,0,1,0,0,0,0,0,0
28,1,0,0,1,0,0,0,0,0
29,1,0,0,0,1,0,0,0,0
30,1,0,0,0,0,1,0,0,0
31,1,0,0,0,0,0,0,1,0
32,1,0,0,0,0,0,0,0,1
33,0,1,1,0,0,0,0,0,0
34,0,1,0,1,0,0,0,0,0
35,0,1,0,0,1,0,0,0,0
36,0,1,0,0,0,1,0,0,0
37,0,1,0,0,0,0,1,0,0
38,0,1,0,0,0,0,0,1,0
39,0,1,0,0,0,0,0,0,1
40,0,0,1,1,0,0,0,0,0
41,0,0,1,0,1,0,0,0,0
42,0,0,1,0,0,1,0,0,0
43,0,0,1,0,0,0,1,0,0
44,0,0,1,0,0,0,0,0,1
45,0,0,0,1,0,1,0,0,0
46,0,0,0,1,0,0,1,0,0
47,0,0,0,1,0,0,0,1,0
48,0,0,0,1,0,0,0,0,1
49,0,0,0,0,1,1,0,0,0
50,0,0,0,0,1,0,1,0,0
51,0,0,0,0,1,0,0,1,0
52,0,0,0,0,1,0,0,0,1
53,0,0,0,0,0,1,1,0,0
54,0,0,0,0,0,1,0,0,1
55,0,0,0,0,0,0,1,0,1
56,0,0,0,0,0,0,0,1,1
57,1,0,0,0,0,1,1,1,0
